vul,weakness_name,intrusion_action,vendor,product_name
19,heap-based buffer overflow,unprivileged remote attackers located in the same local network segment (osi layer 2) could gain remote code execution on the affected products by sending a specially crafted dhcp response to a client’s dhcp request.,Siemens,"rfid 181-eip, ruggedcom win, scalance x-200 switch family (incl.siplus net variants), scalance x-200 irt switch family (incl.siplus net variants), scalance x-200rna, scalance x-300 switch family (incl.siplus net variants), scalance x408, scalance x414, simatic rf182c"
20,improper neutralization of input during web page generation,"a remote, authenticated attacker with access to the configuration web server could store script code on the website, provided the hrp redundancy option is set.",Siemens,"scalance x-200 switch family (incl.siplus net variants), scalance x-200 irt switch family (incl.siplus net variants), scalance x300 switch family (incl.siplus net variants), scalance x408"
21,improper neutralization of input during web page generation,allow xss attacks if unsuspecting users are tricked into accessing a malicious link.,Siemens,"scalance x-200 switch family (incl.siplus net variants), scalance x-200 irt switch family (incl.siplus net variants), scalance x300 switch family (incl.siplus net variants), scalance x408"
22,improper input validation,"allows a remote attacker to send a combination of messages to lmgrd or the vendor daemon, causing the heartbeat between lmgrd and the vendor daemon to stop and the vendor daemon to shut down.",Flexera,flexnet publisher
23,improper input validation,"allows a remote attacker to send a combination of messages to lmgrd or the vendor daemon, causing the heartbeat between lmgrd and the vendor daemon to stop and the vendor daemon to shut down.",Flexera,flexnet publisher
24,memory corruption,"allow a remote attacker to corrupt the memory by allocating/deallocating memory, loading lmgrd or the vendor daemon, and causing the heartbeat between lmgrd and the vendor daemon to stop.",Flexera,flexnet publisher
25,improper input validation,"allows a remote attacker to send a combination of messages to lmgrd or the vendor daemon, causing the heartbeat between lmgrd and the vendor daemon to stop and the vendor daemon to shut down.",Flexera,flexnet publisher
26,improper neutralization of input during web page generation ('cross-site scripting'),the software incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,Philips,"tasy emr, tasy webportal"
27,information exposure,allow a remote attacker to access system and configuration information.,Philips,"tasy emr, tasy webportal"
28,improper authentication,allowing for inauthentic instruments to connect to the generator.,Medtronic,"valleylab ft10 energy platform (vlft10gen), valleylab ft10 energy platform (vlft10gen), valleylab ls10 energy platform (vlls10gen—not available in the united states)"
29,protection mechanism failure,allowing for full read access of the rfid security mechanism data.,Medtronic,"valleylab ft10 energy platform (vlft10gen), valleylab ft10 energy platform (vlft10gen), valleylab ls10 energy platform (vlls10gen—not available in the united states)"
30,untrusted search path,the application searches for resources by means of an untrusted search path that could execute a malicious .dll file not under the application's direct control and outside the intended directories.,Omron,network configurator for devicenet safety
31,classic buffer overflow,allow remote code execution.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
32,cross-site request forgery (csrf),allow for the execution of unauthorized actions on the device.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
33,cross-site scripting,"the device fails to properly validate user input, giving unauthenticated and authenticated attackers the ability to perform xss attacks, which may be used to send a malicious script.",Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
34,improper access control,results in a read-only user being able to perform arbitrary configuration changes.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
35,improper restriction of excessive authentication attempts,allow an attacker to discover passwords via brute force attack.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
36,missing encryption of sensitive data,allow an attacker to capture sensitive data such as an administrative password.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
37,out-of-bounds read,"allow an attacker to read device memory on arbitrary addresses, which may allow an attacker to retrieve sensitive data or cause device reboot.",Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
38,unprotected storage of credentials,allow sensitive information to be read by someone with access to the device.,Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
39,predictable from observable state,"allowing an attacker to capture the administrator's password, which could lead to a full compromise of the device.",Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
40,uncontrolled resource consumption,"allow remote authenticated users to cause a denial of service via a specially crafted packet, which may cause the switch to crash.",Moxa,"iks-g6824a series, eds-405a series, eds-408a series, eds-510a series"
41,missing authentication for critical function,"allow remote attackers to obtain web configuration data, which can be accessed without authentication over the network.",Honeywell,ip-ak2 access control panel
42,unrestricted upload of file with dangerous type,allows an authenticated user with network access to the wincc datamonitor application to upload arbitrary aspx code.,Siemens,"simatic pcs 7 v8.0, simatic pcs 7 v8.1, simatic pcs 7 v8.2, simatic pcs 7 v9.0, simatic wincc professional (tia portal v13), simatic wincc professional (tia portal v14), simatic wincc professional (tia portal v15), simatic wincc runtime professional v14, simatic wincc runtime professional v15, simatic wincc v7.2 and earlier, simatic wincc v7.3, simatic wincc v7.4, simatic wincc v7.5"
43,sql injection,an attacker with network access to the project file could run arbitrary system commands with the privileges of the local database server.,Siemens,"simatic wincc (tia portal v14), simatic wincc (tia portal v15), simatic wincc runtime professional v14, simatic wincc runtime professional v15, simatic pcs7 v8.0 and earlier, simatic pcs7 v8.1, simatic pcs7 v8.2, simatic pcs7 v9.0, simatic wincc (tia portal) v13, simatic wincc runtime professional v13, simatic wincc v7.2 and earlier, simatic wincc v7.3, simatic wincc v7.4, simatic wincc v7.5"
44,uncaught exception,cause a denial-of-service condition on the affected product as the project file is loaded.,Siemens,"simatic wincc (tia portal v14), simatic wincc (tia portal v15), simatic wincc runtime professional v14, simatic wincc runtime professional v15, simatic pcs7 v8.0 and earlier, simatic pcs7 v8.1, simatic pcs7 v8.2, simatic pcs7 v9.0, simatic wincc (tia portal) v13, simatic wincc runtime professional v13, simatic wincc v7.2 and earlier, simatic wincc v7.3, simatic wincc v7.4, simatic wincc v7.5"
45,exposed dangerous method or function,an authenticated attacker with network access to the dcom interface could execute arbitrary commands with system privileges.,Siemens,"simatic wincc (tia portal v14), simatic wincc (tia portal v15), simatic wincc runtime professional v14, simatic wincc runtime professional v15, simatic pcs7 v8.0 and earlier, simatic pcs7 v8.1, simatic pcs7 v8.2, simatic pcs7 v9.0, simatic wincc (tia portal) v13, simatic wincc runtime professional v13, simatic wincc v7.2 and earlier, simatic wincc v7.3, simatic wincc v7.4, simatic wincc v7.5"
46,exposure of resource to wrong sphere,"enable a limited-access kiosk user or an unauthorized attacker to break-out from the containment of the kiosk environment, attain elevated privileges from the underlying windows os, and access unauthorized resources from the operating system.",Philips,"brilliance 64, brilliance ict, brilliance ict sp, brilliance ct big bore"
47,use of hard-coded credentials,an attacker could compromise these credentials and gain access to the system.,Philips,"brilliance 64, brilliance ict, brilliance ict sp, brilliance ct big bore"
48,improper privilege management,allow local microsoft windows operating system users to escalate their privileges if the affected products are not installed under their default path (“c:\program files\*” or the localized equivalent).,Siemens,"primary setup tool (pst), simatic it production suite, simatic net pc-software, simatic pcs 7, simatic pcs 7 v8.0, simatic pcs 7 v8.1, simatic pcs 7 v8.2, simatic step 7 (tia portal) v13, simatic step 7 v5.x, simatic winac rtx (f) 2010 sp2, simatic wincc (tia portal) basic, comfort, advanced, simatic wincc (tia portal) professional v13, simatic wincc (tia portal) professional v14, simatic wincc runtime professional v13, simatic wincc runtime professional v14, simatic wincc v7.0 sp2 and earlier, simatic wincc v7.0 sp3, simatic wincc v7.2, simatic wincc v7.3, simatic wincc v7.4, simit, sinema remote connect client, sinema server, softnet security client v5.0, security configuration tool (sct), telecontrol server basic"
49,incorrect permission assignment for critical resource,"the online user management may incorrectly grant access to sub objects, even if the logged-in user does not have inherited permission to access them.",3S-Smart Software Solutions GmbH,"codesys control for beaglebone, codesys control for empc-a/imx6, codesys control for iot2000, codesys control for pfc100, codesys control for pfc200, codesys control for raspberry pi, codesys control rte v3, codesys control rte v3 (for beckhoff cx), codesys control win v3 (also part of the codesys development system setup), codesys v3 simulation runtime (part of the codesys development system), codesys hmi v3"
50,improper authorization,allows the execution of certain application commands without proper authentication.,Siemens,sinetplan
51,stack-based buffer overflow,an attacker could use a specially crafted project file to overflow the buffer and execute code under the privileges of the application.,EZAutomation,ez touch editor
52,improper restriction of operations within the bounds of a memory buffer,an attacker could use a specially crafted project file to corrupt the memory and execute code under the privileges of the application.,EZAutomation,ez plc editor
53,incorrect default permissions,allow an attacker with local system access to execute unauthorized arbitrary code.,Change Healthcare,"horizon cardiology 11.x and earlier, horizon cardiology 12.x, mckesson cardiology 13.x, mckesson cardiology 14. x, change healthcare cardiology"
54,buffer copy without checking size of input ('classic buffer overflow'),allow an attacker to remotely execute arbitrary code.,Delta Controls,"entelibus manager, entelibus manager touch (ebmgr-tch), entelibus controller (ebcon)"
55,use of hard-coded cryptographic key,an attacker with access to the hardcoded rc2 key could decrypt captured network traffic between the metasys ads/adx servers or nae/nie/nce engines and the connecting smp user client.,Johnson Controls,metasys system
56,stack-based buffer overflow,an attacker could use specially crafted project files to overflow the buffer and execute code under the privileges of the application.,Fuji Electric,alpha5 smart loader
57,improper adherence to coding standards,cause a denial-of-service condition.,Siemens,"scalance sc-600, scalance xb-200, scalance xc-200, scalance xf-200ba, scalance xp-200, scalance sr-300wg"
58,improper adherence to coding standards,allow execution of arbitrary commands.,Siemens,"scalance sc-600, scalance xb-200, scalance xc-200, scalance xf-200ba, scalance xp-200, scalance sr-300wg"
59,out-of-bounds read,"allow information disclosure, remote code execution, or crash of the application.",Delta Electronics,dopsoft
60,use after free,"allow information disclosure, remote code execution, or crash of the application.",Delta Electronics,dopsoft
61,inclusion of sensitive information in log files,allow disclosure of sensitive information.,OSIsoft LLC,pi web api
62,protection mechanism failure,the affected product is vulnerable to a direct attack due to a cross-site request forgery protection setting that has not taken effect.,OSIsoft LLC,pi web api
63,insufficient resource pool,allow a denial-of-service condition.,Siemens,"scalance x-200, scalance x-200irt, scalance x-200rna"
64,out-of-bounds write,"cause the system to write outside the intended buffer area, allowing remote code execution.",Advantech,advantech webaccess hmi designer
65,out-of-bounds read,allow an attacker to read limited information from the device.,Fuji Electric,frenic loader
66,unverified ownership,,3S-Smart Software Solutions GmbH,"codesys control for beaglebone, codesys control for empc-a/imx6, codesys control for iot2000, codesys control for linux, codesys control for pfc100, codesys control for pfc200, codesys control for raspberry pi, codesys control v3 runtime system toolkit, codesys gateway v3, codesys v3 development system"
67,out-of-bounds read,allow an attacker to obtain sensitive information.,LCDS—Leão Consultoria e Desenvolvimento de Sistemas LTDA ME,scada
68,access of resource using incompatible type ('type confusion'),allow an attacker to execute remote code.,LCDS—Leão Consultoria e Desenvolvimento de Sistemas LTDA ME,scada
69,stack-based buffer overflow,this vulnerability can result in remote code execution.,Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
70,heap-based buffer overflow,"this vulnerability may be used to overwrite the heap, which could result in a later crash when a task requests memory from the heap.",Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
71,integer underflow (wrap or wraparound),an attacker can either hijack an existing tcp-session and inject bad tcp-segments or establish a new tcp-session on any tcp-port listened to by the target.,Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
72,improper restriction of operations within the bounds of a memory buffer,"the most likely outcome is a crash of the application reading from the affected socket, which could result in remote code execution.",Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
73,improper restriction of operations within the bounds of a memory buffer,"the most likely outcome is a crash of the application reading from the affected socket, which could result in remote code execution.",Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
74,concurrent execution using shared resource with improper synchronization ('race condition'),,Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
75,argument injection or modification,"an attacker with the source and destination tcp-port and ip-addresses of a session can inject invalid tcp-segments into the flow, causing the tcp-session to be reset.",Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
76,argument injection or modification,an attacker residing on the lan can send reverse-arp responses to the victim system to assign unicast ipv4 addresses to the target.,Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
77,argument injection or modification,"the attacker can send a multicast ip-address in the dhcp offer/ack message, which the victim system then incorrectly assigns.",Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
78,argument injection or modification,the igmpv3 reception handler does not expect packets to be spread across multiple ip-fragments.,Wind River,"vxworks under current support (6.9.4.11, vx7 sr540, vx7 sr610), vxworks, the discontinued product advanced networking technology (ant)"
79,os command injection,allow attackers to execute commands directly on the operating system.,Prima Systems,prima flexair
80,unrestricted upload of file with dangerous type,allow a remote authenticated attacker to upload and execute malicious applications within the application’s web root with root privileges.,Prima Systems,prima flexair
81,stack-based buffer overflow,allow remote code execution.,Advantech,webaccess
82,heap-based buffer overflow,allow remote code execution.,Advantech,webaccess
83,out-of-bounds read,allow disclosure of information.,Advantech,webaccess
84,out-of-bounds write,allow remote code execution.,Advantech,webaccess
85,untrusted pointer dereference,allow a remote attacker to execute arbitrary code.,Advantech,webaccess
86,access of uninitialized pointer,allow remote code execution.,Phoenix Contact,automationworx software suite
87,out-of-bounds read,allow remote code execution.,Phoenix Contact,automationworx software suite
88,use after free,allow remote code execution.,Phoenix Contact,automationworx software suite
89,improper input validation,cause the controller to restart.,Siemens,"sinamics perfect harmony gh180 with nxg i control, mlfbs: 6sr2, 6sr3, 6sr4, sinamics perfect harmony gh180 with nxg ii control, mlfbs: 6sr2, 6sr3, 6sr4"
90,Stack-based buffer overflow,"allows user-assisted remote attackers to execute arbitrary code via a crafted .csv file, related to a status log message.",SCADA Engine,SCADA Engine BACnet OPC Client
91,Directory traversal,allows remote attackers to read arbitrary files via a .. (dot dot) in the file_name parameter in an open request.,Ecava,IntegraXor
92,Directory traversal,allows remote authenticated administrators to read arbitrary files,IntelliCom,"WebSCADA WS100 and WS200, Easy Connect EC150, Modbus RTU - TCP Gateway MB100, and Serial Ethernet Server SS100"
93,stack-based buffer overflow,allow the execution of arbitrary code.,Ecava,IntegraXor
94,Stack-based buffer overflow,lead to arbitrary code execution,Sielco Sistem,Winlog Pro
95,Heap-based buffer overflow,allow a remote attacker to cause the service to crash and may allow the execution of arbitrary code as the user.,WellinTech,KingView
96,,execution of arbitrary code,Unitronics,UniOPC
97,use-after-free,allows remote attackers to execute arbitrary code via a crafted html document.,Honeywell,ScanServer ActiveX Control
98,,arbitrary data leakage,Ecava,IntegraXor
99,stack-based buffer overflow,allow a remote attacker to execute arbitrary code.,WellinTech,KingView
100,authentication bypass using an alternate path or channel,allow execution of admin functions such as sql queries.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
101,improper restriction of excessive authentication attempts,allow brute force password attacks.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
102,improper authentication,allow unauthorized users to access the system after no more than a fixed maximum number of attempts.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
103,missing authorization,allow a low-privilege user to access privileged information.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
104,execution with unnecessary privileges,allow the execution of arbitrary commands.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
105,unrestricted upload of file with dangerous type,allow a low-privilege user to upload and execute arbitrary files on the system.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
106,improper limitation of a pathname to a restricted directory ('path traversal'),allow disclosure of sensitive files or the execution of malicious uploaded files.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
107,improper authorization,allow unauthorized execution of commands.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
108,improper neutralization of input during web page generation ('cross-site scripting'),allow the execution of malicious code within the user’s browser.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
109,insufficiently protected credentials,allow an attacker to recover passwords using known password cracking techniques.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
110,hidden functionality,allow an attacker to login and execute arbitrary commands.,OpenClinic GA is a product of open-source collaboration on Source Forge,"openclinic ga, openclinic ga"
111,path traversal,"the software uses external input to construct a pathname that should be within a restricted directory, but does not properly neutralize sequences such as “../” that can resolve to a location that is outside of that directory.",Nortek,linear emerge 50p/5000p
112,improper neutralization of special elements used in a command ('command injection'),allow attackers to execute dangerous commands directly on the operating system.,Nortek,linear emerge 50p/5000p
113,unrestricted upload of file with dangerous type,"a remote, unauthenticated attacker can upload files with arbitrary extensions into a directory within the application’s web root and execute them with privileges of the web server.",Nortek,linear emerge 50p/5000p
114,cross-site request forgery (csrf),allows users to perform certain actions via http requests without performing any validity checks to verify the requests.,Nortek,linear emerge 50p/5000p
115,improper authentication,a remote attacker can send a specially crafted http request abusing the cookie header value traversing to an arbitrary session file that bypasses authentication checks and gains unauthorized access to the application.,Nortek,linear emerge 50p/5000p
116,improper neutralization of input during web page generation (‘cross-site scripting’),allow an attacker to remotely execute arbitrary code.,ABB,"versions prior to 5.1, system 800xa information manager, system 800xa information manager"
117,out-of-bounds read,allow an attacker to read information and/or crash the application.,Delta Electronics,dopsoft
118,heap-based buffer overflow,"allow remote code execution, disclosure/modification of information, or cause the application to crash.",Delta Electronics,dopsoft
119,improper restriction of xml external entity reference,allow a malicious attacker to send a file on the computer running the product to the outside.,Mitsubishi Electric,"cpu module logging configuration tool, cw configurator, em software development kit (em configurator), gt designer3（got2000), gx logviewer, gx works2, gx works3, m_commdtm-hart, m_commdtm-io-link, melfa-works, melsec-l flexible high-speed i/o control module configuration tool, melsoft fielddeviceconfigurator, melsoft iq appportal, melsoft navigator, mi configurator, motion control setting, mr configurator2, mt works2, rt toolbox2, rt toolbox3"
120,uncontrolled resource consumption,allow a malicious attacker to cause the product to enter a denial-of-service condition.,Mitsubishi Electric,"cpu module logging configuration tool, cw configurator, em software development kit (em configurator), gt designer3（got2000), gx logviewer, gx works2, gx works3, m_commdtm-hart, m_commdtm-io-link, melfa-works, melsec-l flexible high-speed i/o control module configuration tool, melsoft fielddeviceconfigurator, melsoft iq appportal, melsoft navigator, mi configurator, motion control setting, mr configurator2, mt works2, rt toolbox2, rt toolbox3"
121,authentication bypass using an alternate path or channel,an attacker may use an alternate path or channel that does not require authentication of the alternate service login to view or modify information.,Philips,"ultrasound clearvue, ultrasound cx, ultrasound epiq/affiniti, ultrasound sparq, ultrasound xperius"
122,use of hard-coded cryptographic key,the lighting controller products include hard-coded ssh keys for remote ssh and scp access as the root user.,ENTTEC,"datagate mk2, storm 24, pixelator, e-streamer mk2"
123,improper neutralization of input during web page generation ('cross-site scripting'),allow an unauthenticated threat actor to inject malicious code directly into the application.,ENTTEC,"datagate mk2, storm 24, pixelator, e-streamer mk2"
124,improper access control,the lighting controller products enable high privileged root access via sudo capability without requiring appropriate access control.,ENTTEC,"datagate mk2, storm 24, pixelator, e-streamer mk2"
125,incorrect permission assignment for critical resource,"the system replaces permissions by the underlying operating system with highly insecure read, write, and execute directory permissions for all users.",ENTTEC,"datagate mk2, storm 24, pixelator, e-streamer mk2"
126,cleartext transmission of sensitive information,,Mitsubishi Electric,"melsec iq-r, iq-f, q, l and fx series cpu modules"
127,cleartext transmission of sensitive information,the affected device exposes unencrypted passwords on the network.,Honeywell,"controledge plc, controledge rtu"
128,cleartext transmission of sensitive information,the affected product exposes a session token on the network.,Honeywell,"controledge plc, controledge rtu"
129,insecure storage of sensitive information,allow the user to take control of the product,ABB,device library wizard
130,use of hard-coded password,"allow an attacker who has gained unauthorized access to system resources, including access to execute software or to view/update files, directories, or system configuration.",Baxter,"exactamix em2400, exactamix em1200"
131,use of hard-coded password,allow an attacker with physical access to gain unauthorized access to view/update system configuration or data.,Baxter,"exactamix em2400, exactamix em1200"
